x[m], y[m], u[m/s], v[m/s]
0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.04110271352, 0.001422799943
0.1519061747, 0.0100573714, 0.0460945135, 0.003051064666
0.1518131701, 0.01194969885, 0.04265501652, 0.002903265463
0.151667191, 0.0149173283, 0.0372551168, 0.002670409158
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.06655034911, 0.002423067734
0.1519061747, 0.0100573714, 0.0747542684, 0.004737867226
0.1518131701, 0.01194969885, 0.06944519829, 0.00446114065
0.151667191, 0.0149173283, 0.06110628952, 0.004025583173
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.08419157484, 0.002882031835
0.1519061747, 0.0100573714, 0.09491647199, 0.005575640243
0.1518131701, 0.01194969885, 0.08831143913, 0.005247688003
0.151667191, 0.0149173283, 0.07793567107, 0.004731606723
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.09680814885, 0.003070257906
0.1519061747, 0.0100573714, 0.1095591205, 0.0059708673
0.1518131701, 0.01194969885, 0.1020704946, 0.005633229113
0.151667191, 0.0149173283, 0.09030585333, 0.005101842203
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.1059342795, 0.003054539101
0.1519061747, 0.0100573714, 0.1202734936, 0.006042814268
0.1518131701, 0.01194969885, 0.1121974325, 0.005726705852
0.151667191, 0.0149173283, 0.09950908866, 0.005229017877
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.112492982, 0.002942438215
0.1519061747, 0.0100573714, 0.1281388681, 0.005934878979
0.1518131701, 0.01194969885, 0.1196945944, 0.005652177827
0.151667191, 0.0149173283, 0.1064267622, 0.005206805935
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.1171538929, 0.002759228684
0.1519061747, 0.0100573714, 0.1338320892, 0.005702928338
0.1518131701, 0.01194969885, 0.1251767058, 0.005462036633
0.151667191, 0.0149173283, 0.1115763713, 0.005082211828
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.1204229157, 0.002541143414
0.1519061747, 0.0100573714, 0.1379402584, 0.005406666487
0.1518131701, 0.01194969885, 0.1291828038, 0.005211342213
0.151667191, 0.0149173283, 0.1154212986, 0.004903003098
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.1226298614, 0.00230609028
0.1519061747, 0.0100573714, 0.1408145607, 0.005080603697
0.1518131701, 0.01194969885, 0.1320392972, 0.004931822173
0.151667191, 0.0149173283, 0.118249014, 0.004696522029
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.1240477633, 0.002064123598
0.1519061747, 0.0100573714, 0.1427682543, 0.0047414121
0.1518131701, 0.01194969885, 0.1340328156, 0.004639339875
0.151667191, 0.0149173283, 0.1203043489, 0.004477367868
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.124873694, 0.001820346131
0.1519061747, 0.0100573714, 0.1440367998, 0.004398935896
0.1518131701, 0.01194969885, 0.1353790425, 0.004343405634
0.151667191, 0.0149173283, 0.1217719071, 0.004254557867
0.1515467843, 0.02000000048, 0, 0

0.1515672729, 0, 0, 0
0.1516797039, 0.005108245022, 0.1252647868, 0.001589149716
