x[m], y[m], u[m/s], v[m/s]
0.110833086, 0.0016631111, 0.113664471, -0.00182380923
0.110833086, 0.0033326745, 0.225548089, -0.000252912199
0.110833086, 0.0050022304, 0.254564226, -0.00280314195
0.110833086, 0.0066717938, 0.248190954, 0.00258366018
0.110833086, 0.0083413497, 0.255454212, 0.00252562878
0.110833086, 0.010010913, 0.259968936, 0.00160017738
0.110833086, 0.0116804689, 0.269961894, 0.00408854801
0.110833086, 0.0133500323, 0.158180475, 0.000893724442
0.110833086, 0.0150195882, 0.0288666245, 0.00264510396
0.110833086, 0.0166891515, 0.0191029943, -0.00629760744
0.110833086, 0.0183587074, 0.0318025015, -0.00415554503
0.110833086, 0.0200282708, 0.00246362295, -0.000248341588
0.110833086, 0.0216978341, 0.00082179124, 0.000583879882

0.110833086, 0.0016631111, 0.178409457, 0.00162033713
0.110833086, 0.0033326745, 0.294726431, 0.00343712885
0.110833086, 0.0050022304, 0.338520676, 0.00286473427
0.110833086, 0.0066717938, 0.345289022, 0.00943501946
0.110833086, 0.0083413497, 0.358529061, 0.00776616065
0.110833086, 0.010010913, 0.367402911, 0.00157580594
0.110833086, 0.0116804689, 0.299434453, 0.00152586517
0.110833086, 0.0133500323, 0.268655419, -0.00185160001
0.110833086, 0.0150195882, 0.340122253, 0.00456379587
0.110833086, 0.0166891515, 0.324479788, 0.00806317106
0.110833086, 0.0183587074, 0.153764248, -0.0011895569
0.110833086, 0.0200282708, 0.0437566787, -0.00297267642
0.110833086, 0.0216978341, 0.0031759222, -0.000913273485

0.110833086, 0.0016631111, 0.242188513, -0.000781717012
0.110833086, 0.0033326745, 0.389669537, 0.00177673844
0.110833086, 0.0050022304, 0.400556147, 0.00161568774
0.110833086, 0.0066717938, 0.374972552, 0.0031479951
0.110833086, 0.0083413497, 0.38301906, 0.00353310956
0.110833086, 0.010010913, 0.402853787, 0.00360447681
0.110833086, 0.0116804689, 0.387814075, 0.00532968854
0.110833086, 0.0133500323, 0.341340095, -0.00100996986
0.110833086, 0.0150195882, 0.331969321, -0.00499780569
0.110833086, 0.0166891515, 0.297229856, -0.00779846357
0.110833086, 0.0183587074, 0.135663569, -0.00659787003
0.110833086, 0.0200282708, 0.061470367, -0.00355233508
0.110833086, 0.0216978341, 0.0210268833, -0.00201380439

0.110833086, 0.0016631111, 0.272536755, 0.000877705112
0.110833086, 0.0033326745, 0.383379161, 0.00422663242
0.110833086, 0.0050022304, 0.416201055, 0.00304812659
0.110833086, 0.0066717938, 0.420474201, 0.00303736446
0.110833086, 0.0083413497, 0.445468307, 0.00624073064
0.110833086, 0.010010913, 0.458785713, 0.01117256
0.110833086, 0.0116804689, 0.432465702, 0.00801769365
0.110833086, 0.0133500323, 0.418229729, 0.00475893263
0.110833086, 0.0150195882, 0.422236979, 0.00675703213
0.110833086, 0.0166891515, 0.32627666, 0.00287670968
0.110833086, 0.0183587074, 0.207248107, -0.00226682937
0.110833086, 0.0200282708, 0.070516035, -0.000542202964
0.110833086, 0.0216978341, 0.00705027906, 0.000642977015

